timestamp,run_id,concurrency,gpu_util_percent,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,gpu_temperature,cpu_util_percent,memory_used_mb,memory_total_mb,network_rx_mb_s,network_tx_mb_s,disk_read_mb_s,disk_write_mb_s
2025-12-08T18:59:09.232770,llama_tgi_c20_run1,20,0,34544,46068,77.3,41,2.7,5752,31779,0.0,0.01,0.17,0.0
2025-12-08T18:59:10.235536,llama_tgi_c20_run1,20,0,34544,46068,77.3,41,2.6,5752,31779,0.02,0.02,0.0,0.09
2025-12-08T18:59:11.238081,llama_tgi_c20_run1,20,0,34544,46068,77.15,41,2.4,5752,31779,0.01,0.01,0.0,0.05
2025-12-08T18:59:12.241342,llama_tgi_c20_run1,20,0,34544,46068,77.15,41,2.6,5752,31779,0.03,0.03,0.0,0.12
2025-12-08T18:59:13.244553,llama_tgi_c20_run1,20,0,34544,46068,77.19,41,3.4,5752,31779,0.02,0.02,0.0,0.0
2025-12-08T18:59:14.247840,llama_tgi_c20_run1,20,0,34544,46068,77.15,41,6.8,5766,31779,0.03,0.03,0.0,0.09
2025-12-08T18:59:15.251152,llama_tgi_c20_run1,20,0,34544,46068,77.17,41,3.1,5765,31779,0.01,0.01,0.0,0.35
2025-12-08T18:59:16.254462,llama_tgi_c20_run1,20,0,34544,46068,77.2,41,3.1,5765,31779,0.02,0.02,0.0,0.05
2025-12-08T18:59:17.257677,llama_tgi_c20_run1,20,0,34544,46068,77.25,41,2.0,5765,31779,0.01,0.01,0.0,0.03
2025-12-08T18:59:18.261003,llama_tgi_c20_run1,20,0,34544,46068,76.96,41,3.0,5765,31779,0.03,0.03,0.0,0.15
2025-12-08T18:59:19.264460,llama_tgi_c20_run1,20,0,34544,46068,76.77,41,2.8,5764,31779,0.01,0.01,0.0,0.0
2025-12-08T18:59:20.267813,llama_tgi_c20_run1,20,0,34544,46068,76.86,41,2.5,5764,31779,0.02,0.02,0.0,0.09
2025-12-08T18:59:21.271166,llama_tgi_c20_run1,20,0,34544,46068,76.72,41,2.5,5764,31779,0.02,0.02,0.0,0.05
2025-12-08T18:59:22.274471,llama_tgi_c20_run1,20,0,34544,46068,76.77,41,2.6,5764,31779,0.03,0.03,0.0,0.15
2025-12-08T18:59:23.277802,llama_tgi_c20_run1,20,0,34544,46068,76.72,41,3.3,5764,31779,0.02,0.02,0.0,0.0
2025-12-08T18:59:24.281063,llama_tgi_c20_run1,20,0,34544,46068,76.68,41,7.1,5755,31779,0.03,0.03,0.0,0.05
2025-12-08T18:59:25.284205,llama_tgi_c20_run1,20,0,34544,46068,76.68,41,2.5,5755,31779,0.01,0.01,0.0,0.0
2025-12-08T18:59:26.287041,llama_tgi_c20_run1,20,66,34544,46068,117.87,44,20.4,5775,31779,1.33,0.73,0.0,0.05
2025-12-08T18:59:27.290311,llama_tgi_c20_run1,20,75,34544,46068,156.34,45,21.0,5779,31779,1.73,0.86,0.0,0.03
2025-12-08T18:59:28.292404,llama_tgi_c20_run1,20,74,34544,46068,155.43,46,21.9,5780,31779,1.6,0.82,0.0,0.15
2025-12-08T18:59:29.294927,llama_tgi_c20_run1,20,65,34544,46068,159.79,46,21.2,5780,31779,1.64,0.83,0.0,0.05
2025-12-08T18:59:30.298227,llama_tgi_c20_run1,20,53,34544,46068,152.22,46,20.6,5780,31779,1.6,0.82,0.0,0.05
2025-12-08T18:59:31.300500,llama_tgi_c20_run1,20,60,34544,46068,149.74,47,20.7,5780,31779,1.61,0.82,0.0,0.25
2025-12-08T18:59:32.303384,llama_tgi_c20_run1,20,69,34544,46068,154.63,47,21.4,5780,31779,1.68,0.89,0.0,0.12
2025-12-08T18:59:33.306156,llama_tgi_c20_run1,20,75,34544,46068,151.33,47,20.9,5780,31779,1.51,0.77,0.0,0.0
2025-12-08T18:59:34.309099,llama_tgi_c20_run1,20,61,34544,46068,157.91,47,24.0,5786,31779,1.71,0.88,0.0,0.05
2025-12-08T18:59:35.312078,llama_tgi_c20_run1,20,64,34544,46068,147.0,47,20.1,5786,31779,1.55,0.79,0.0,0.0
2025-12-08T18:59:36.314647,llama_tgi_c20_run1,20,74,34544,46068,155.98,48,20.5,5786,31779,1.68,0.85,0.0,0.28
2025-12-08T18:59:37.317631,llama_tgi_c20_run1,20,59,34544,46068,160.01,48,20.4,5789,31779,1.62,0.81,0.0,0.03
2025-12-08T18:59:38.321041,llama_tgi_c20_run1,20,63,34544,46068,154.52,48,20.7,5789,31779,1.68,0.86,0.0,0.14
2025-12-08T18:59:39.324258,llama_tgi_c20_run1,20,71,34544,46068,167.14,48,19.9,5789,31779,1.51,0.75,0.0,0.0
2025-12-08T18:59:40.327285,llama_tgi_c20_run1,20,69,34544,46068,168.68,49,19.1,5789,31779,0.86,0.44,0.0,0.08
2025-12-08T18:59:41.330398,llama_tgi_c20_run1,20,69,34544,46068,176.15,49,18.8,5782,31779,0.47,0.24,0.0,0.33
2025-12-08T18:59:42.333429,llama_tgi_c20_run1,20,69,34544,46068,175.53,50,18.8,5782,31779,0.43,0.3,0.0,0.52
2025-12-08T18:59:43.336037,llama_tgi_c20_run1,20,0,34544,46068,160.95,48,13.1,5767,31779,0.12,0.07,0.0,0.0
2025-12-08T18:59:44.339375,llama_tgi_c20_run1,20,0,34544,46068,92.09,45,7.2,5761,31779,0.03,0.03,0.0,0.11
2025-12-08T18:59:45.342619,llama_tgi_c20_run1,20,0,34544,46068,79.01,45,2.5,5760,31779,0.01,0.01,0.04,0.59
2025-12-08T18:59:46.345854,llama_tgi_c20_run1,20,0,34544,46068,78.8,44,2.8,5760,31779,0.02,0.02,0.0,0.44
2025-12-08T18:59:47.349234,llama_tgi_c20_run1,20,0,34544,46068,78.56,44,2.6,5764,31779,0.02,0.02,0.0,0.27
2025-12-08T18:59:48.351472,llama_tgi_c20_run1,20,0,34544,46068,78.37,44,2.9,5764,31779,0.03,0.03,0.0,0.13
2025-12-08T18:59:49.354797,llama_tgi_c20_run1,20,0,34544,46068,78.22,44,3.1,5764,31779,0.01,0.01,0.0,0.0
2025-12-08T18:59:50.357969,llama_tgi_c20_run1,20,0,34544,46068,78.22,43,2.5,5764,31779,0.02,0.02,0.0,0.05
2025-12-08T18:59:51.360772,llama_tgi_c20_run1,20,0,34544,46068,78.27,43,4.9,5764,31779,0.01,0.01,0.0,0.21
2025-12-08T18:59:52.363187,llama_tgi_c20_run1,20,0,34544,46068,78.22,43,3.9,5764,31779,0.03,0.03,0.0,0.23
2025-12-08T18:59:53.366408,llama_tgi_c20_run1,20,0,34544,46068,78.17,43,4.0,5765,31779,0.11,0.12,0.0,0.15
2025-12-08T18:59:54.369921,llama_tgi_c20_run1,20,0,34544,46068,78.12,43,7.0,5755,31779,0.03,0.03,0.0,0.08
2025-12-08T18:59:55.373115,llama_tgi_c20_run1,20,0,34544,46068,77.98,43,2.0,5755,31779,0.01,0.01,0.0,0.0
2025-12-08T18:59:56.376313,llama_tgi_c20_run1,20,0,34544,46068,78.1,43,2.8,5755,31779,0.02,0.02,0.0,0.08
