timestamp,run_id,concurrency,gpu_util_percent,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,gpu_temperature,cpu_util_percent,memory_used_mb,memory_total_mb,network_rx_mb_s,network_tx_mb_s,disk_read_mb_s,disk_write_mb_s
2025-12-08T18:35:15.946004,vllm_c1_run1,1,0,42172,46068,78.31,43,10.0,5083,31779,0.01,0.03,0.0,0.0
2025-12-08T18:35:16.949544,vllm_c1_run1,1,0,42172,46068,78.41,43,3.0,5083,31779,0.02,0.02,0.0,0.12
2025-12-08T18:35:17.952160,vllm_c1_run1,1,0,42172,46068,78.27,43,3.6,5080,31779,0.02,0.02,0.0,0.0
2025-12-08T18:35:18.955603,vllm_c1_run1,1,0,42172,46068,78.02,43,4.1,5080,31779,0.04,0.04,0.0,0.16
2025-12-08T18:35:19.958505,vllm_c1_run1,1,0,42172,46068,77.97,43,2.5,5080,31779,0.01,0.01,0.0,0.0
2025-12-08T18:35:20.962033,vllm_c1_run1,1,0,42172,46068,78.06,43,3.6,5080,31779,0.02,0.02,0.0,0.09
2025-12-08T18:35:21.965765,vllm_c1_run1,1,0,42172,46068,78.11,43,3.1,5080,31779,0.02,0.02,0.0,0.13
2025-12-08T18:35:22.969503,vllm_c1_run1,1,0,42172,46068,78.11,43,3.1,5087,31779,0.02,0.03,0.0,0.06
2025-12-08T18:35:23.972141,vllm_c1_run1,1,0,42172,46068,78.12,43,6.4,5097,31779,0.02,0.02,0.0,0.03
2025-12-08T18:35:24.975401,vllm_c1_run1,1,0,42172,46068,78.13,43,2.9,5098,31779,0.02,0.02,0.0,0.12
2025-12-08T18:35:25.978998,vllm_c1_run1,1,0,42172,46068,78.03,43,2.6,5098,31779,0.02,0.02,0.0,0.0
2025-12-08T18:35:26.982806,vllm_c1_run1,1,0,42172,46068,77.83,42,2.6,5098,31779,0.02,0.02,0.0,0.15
2025-12-08T18:35:27.986385,vllm_c1_run1,1,0,42172,46068,77.78,42,3.5,5098,31779,0.02,0.02,0.0,0.0
2025-12-08T18:35:28.990247,vllm_c1_run1,1,0,42172,46068,77.87,42,4.5,5089,31779,0.05,0.04,0.0,0.1
2025-12-08T18:35:29.993115,vllm_c1_run1,1,0,42172,46068,77.87,42,2.6,5089,31779,0.02,0.02,0.0,0.12
2025-12-08T18:35:30.996480,vllm_c1_run1,1,0,42172,46068,77.83,42,3.3,5089,31779,0.05,0.05,0.0,0.06
2025-12-08T18:35:31.999771,vllm_c1_run1,1,0,42172,46068,77.88,42,2.9,5089,31779,0.05,0.05,0.0,0.06
2025-12-08T18:35:33.003606,vllm_c1_run1,1,0,42172,46068,77.93,42,3.4,5091,31779,0.03,0.03,0.0,0.05
2025-12-08T18:35:34.007472,vllm_c1_run1,1,0,42172,46068,77.88,42,6.5,5091,31779,0.02,0.02,0.0,0.02
2025-12-08T18:35:35.011280,vllm_c1_run1,1,0,42172,46068,77.78,42,3.1,5092,31779,0.02,0.02,0.0,0.59
2025-12-08T18:35:36.014587,vllm_c1_run1,1,86,42172,46068,109.38,48,13.9,5109,31779,0.11,0.07,0.0,0.0
2025-12-08T18:35:37.017749,vllm_c1_run1,1,87,42172,46068,213.68,50,18.3,5110,31779,0.18,0.09,0.0,0.09
2025-12-08T18:35:38.020819,vllm_c1_run1,1,82,42172,46068,205.98,50,19.2,5108,31779,0.18,0.09,0.0,0.0
2025-12-08T18:35:39.023759,vllm_c1_run1,1,87,42172,46068,205.73,51,19.2,5108,31779,0.19,0.1,0.0,0.13
2025-12-08T18:35:40.027087,vllm_c1_run1,1,87,42172,46068,207.09,51,18.0,5108,31779,0.18,0.09,0.0,0.05
2025-12-08T18:35:41.030321,vllm_c1_run1,1,87,42172,46068,201.5,51,18.3,5108,31779,0.18,0.09,0.0,0.09
2025-12-08T18:35:42.033073,vllm_c1_run1,1,82,42172,46068,208.04,52,17.9,5108,31779,0.18,0.09,0.0,0.09
2025-12-08T18:35:43.036018,vllm_c1_run1,1,86,42172,46068,206.47,52,18.5,5110,31779,0.18,0.09,0.0,0.11
2025-12-08T18:35:44.039289,vllm_c1_run1,1,87,42172,46068,209.56,52,21.4,5115,31779,0.17,0.09,0.0,0.0
2025-12-08T18:35:45.042544,vllm_c1_run1,1,87,42172,46068,210.47,53,18.9,5113,31779,0.18,0.09,0.0,0.05
2025-12-08T18:35:46.045832,vllm_c1_run1,1,79,42172,46068,209.34,53,18.0,5113,31779,0.18,0.09,0.0,0.0
2025-12-08T18:35:47.049016,vllm_c1_run1,1,86,42172,46068,208.08,53,18.6,5113,31779,0.18,0.09,0.0,0.12
2025-12-08T18:35:48.051433,vllm_c1_run1,1,86,42172,46068,208.0,54,18.5,5113,31779,0.17,0.08,0.0,0.0
2025-12-08T18:35:49.054472,vllm_c1_run1,1,77,42172,46068,208.44,54,18.9,5113,31779,0.19,0.11,0.0,0.12
2025-12-08T18:35:50.057668,vllm_c1_run1,1,87,42172,46068,209.22,54,17.9,5113,31779,0.18,0.09,0.0,0.05
2025-12-08T18:35:51.060190,vllm_c1_run1,1,83,42172,46068,210.39,54,17.8,5113,31779,0.18,0.09,0.0,0.13
2025-12-08T18:35:52.062535,vllm_c1_run1,1,85,42172,46068,208.8,55,17.8,5112,31779,0.18,0.09,0.0,0.06
2025-12-08T18:35:53.065549,vllm_c1_run1,1,87,42172,46068,210.5,55,18.3,5112,31779,0.18,0.09,0.0,0.05
2025-12-08T18:35:54.068541,vllm_c1_run1,1,87,42172,46068,210.36,55,21.0,5109,31779,0.17,0.09,0.0,0.04
2025-12-08T18:35:55.071498,vllm_c1_run1,1,83,42172,46068,212.91,56,18.3,5110,31779,0.18,0.09,0.0,0.06
2025-12-08T18:35:56.074541,vllm_c1_run1,1,71,42172,46068,209.37,55,17.9,5110,31779,0.17,0.09,0.0,0.02
2025-12-08T18:35:57.077859,vllm_c1_run1,1,87,42172,46068,209.15,56,17.8,5110,31779,0.18,0.09,0.0,0.12
2025-12-08T18:35:58.080949,vllm_c1_run1,1,86,42172,46068,214.87,56,18.6,5110,31779,0.17,0.08,0.0,0.0
2025-12-08T18:35:59.083857,vllm_c1_run1,1,86,42172,46068,213.94,56,18.8,5110,31779,0.19,0.11,0.0,0.11
2025-12-08T18:36:00.086842,vllm_c1_run1,1,83,42172,46068,213.51,56,18.0,5108,31779,0.18,0.09,0.0,0.09
2025-12-08T18:36:01.089891,vllm_c1_run1,1,86,42172,46068,214.98,57,19.0,5108,31779,0.21,0.12,0.0,0.1
2025-12-08T18:36:02.092992,vllm_c1_run1,1,86,42172,46068,215.18,57,18.5,5108,31779,0.21,0.12,0.0,0.06
2025-12-08T18:36:03.095628,vllm_c1_run1,1,86,42172,46068,212.01,57,18.5,5108,31779,0.19,0.1,0.0,0.06
2025-12-08T18:36:04.099053,vllm_c1_run1,1,87,42172,46068,215.31,57,20.9,5113,31779,0.17,0.08,0.0,0.03
2025-12-08T18:36:05.101844,vllm_c1_run1,1,86,42172,46068,214.01,57,18.2,5111,31779,0.18,0.09,0.0,0.49
2025-12-08T18:36:06.105032,vllm_c1_run1,1,83,42172,46068,215.12,58,18.4,5111,31779,0.17,0.08,0.0,0.02
2025-12-08T18:36:07.107992,vllm_c1_run1,1,87,42172,46068,215.7,58,18.1,5111,31779,0.18,0.09,0.0,0.09
2025-12-08T18:36:08.110931,vllm_c1_run1,1,79,42172,46068,215.18,58,19.0,5112,31779,0.17,0.08,0.0,0.02
2025-12-08T18:36:09.114004,vllm_c1_run1,1,74,42172,46068,216.0,58,19.3,5112,31779,0.19,0.1,0.0,0.13
2025-12-08T18:36:10.117124,vllm_c1_run1,1,87,42172,46068,218.3,58,18.3,5112,31779,0.18,0.09,0.0,0.05
2025-12-08T18:36:11.120176,vllm_c1_run1,1,87,42172,46068,213.93,59,18.1,5112,31779,0.18,0.09,0.0,0.09
2025-12-08T18:36:12.123411,vllm_c1_run1,1,87,42172,46068,217.37,59,18.8,5112,31779,0.18,0.09,0.0,0.07
2025-12-08T18:36:13.126209,vllm_c1_run1,1,87,42172,46068,215.63,59,18.1,5112,31779,0.18,0.09,0.0,0.14
2025-12-08T18:36:14.129231,vllm_c1_run1,1,85,42172,46068,213.33,59,20.7,5123,31779,0.17,0.08,0.0,0.0
2025-12-08T18:36:15.132191,vllm_c1_run1,1,87,42172,46068,217.73,59,18.4,5122,31779,0.18,0.09,0.0,0.05
2025-12-08T18:36:16.135472,vllm_c1_run1,1,85,42172,46068,212.7,59,18.0,5121,31779,0.17,0.08,0.0,0.0
2025-12-08T18:36:17.138731,vllm_c1_run1,1,86,42172,46068,218.67,59,18.4,5122,31779,0.18,0.09,0.0,0.09
2025-12-08T18:36:18.140957,vllm_c1_run1,1,86,42172,46068,217.15,60,19.2,5122,31779,0.17,0.08,0.0,0.02
2025-12-08T18:36:19.143999,vllm_c1_run1,1,86,42172,46068,215.74,59,18.6,5121,31779,0.19,0.1,0.0,0.17
2025-12-08T18:36:20.146887,vllm_c1_run1,1,79,42172,46068,214.43,59,18.0,5121,31779,0.17,0.09,0.0,0.05
2025-12-08T18:36:21.149885,vllm_c1_run1,1,86,42172,46068,220.96,60,18.1,5121,31779,0.18,0.09,0.0,0.07
2025-12-08T18:36:22.153143,vllm_c1_run1,1,86,42172,46068,219.93,60,18.6,5121,31779,0.18,0.09,0.0,0.06
2025-12-08T18:36:23.156487,vllm_c1_run1,1,86,42172,46068,212.57,60,18.3,5121,31779,0.19,0.1,0.0,0.09
