timestamp,run_id,concurrency,gpu_util_percent,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,gpu_temperature,cpu_util_percent,memory_used_mb,memory_total_mb,network_rx_mb_s,network_tx_mb_s,disk_read_mb_s,disk_write_mb_s
2025-12-08T20:05:03.723523,mistral_tgi_c4_run1,4,0,39634,46068,79.37,48,41.7,5614,31779,0.0,0.02,0.28,0.0
2025-12-08T20:05:04.726652,mistral_tgi_c4_run1,4,0,39634,46068,79.3,48,4.4,5601,31779,0.01,0.01,0.0,0.0
2025-12-08T20:05:05.729989,mistral_tgi_c4_run1,4,0,39634,46068,79.31,48,2.1,5601,31779,0.02,0.02,0.0,0.09
2025-12-08T20:05:06.733232,mistral_tgi_c4_run1,4,0,39634,46068,79.24,48,3.3,5601,31779,0.02,0.02,0.0,0.0
2025-12-08T20:05:07.736380,mistral_tgi_c4_run1,4,0,39634,46068,79.14,48,2.1,5600,31779,0.02,0.02,0.0,0.09
2025-12-08T20:05:08.739631,mistral_tgi_c4_run1,4,0,39634,46068,79.09,48,2.4,5600,31779,0.02,0.02,0.0,0.0
2025-12-08T20:05:09.742960,mistral_tgi_c4_run1,4,0,39634,46068,79.05,48,2.4,5600,31779,0.02,0.02,0.0,0.19
2025-12-08T20:05:10.746270,mistral_tgi_c4_run1,4,0,39634,46068,79.0,47,2.4,5600,31779,0.01,0.01,0.0,0.01
2025-12-08T20:05:11.749496,mistral_tgi_c4_run1,4,0,39634,46068,78.84,47,2.6,5600,31779,0.02,0.02,0.0,0.09
2025-12-08T20:05:12.751925,mistral_tgi_c4_run1,4,0,39634,46068,78.69,47,2.4,5600,31779,0.03,0.03,0.0,1.94
2025-12-08T20:05:13.754670,mistral_tgi_c4_run1,4,0,39634,46068,78.79,47,5.5,5621,31779,0.03,0.03,0.0,0.09
2025-12-08T20:05:14.757995,mistral_tgi_c4_run1,4,0,39634,46068,78.72,47,3.5,5605,31779,0.01,0.01,0.0,0.04
2025-12-08T20:05:15.761290,mistral_tgi_c4_run1,4,0,39634,46068,78.62,47,2.8,5604,31779,0.02,0.02,0.0,0.1
2025-12-08T20:05:16.764521,mistral_tgi_c4_run1,4,0,39634,46068,78.7,47,3.3,5604,31779,0.02,0.02,0.0,0.0
2025-12-08T20:05:17.767746,mistral_tgi_c4_run1,4,0,39634,46068,79.19,47,2.5,5604,31779,0.02,0.02,0.0,0.15
2025-12-08T20:05:18.770897,mistral_tgi_c4_run1,4,0,39634,46068,79.56,47,2.4,5603,31779,0.02,0.02,0.0,0.0
2025-12-08T20:05:19.773298,mistral_tgi_c4_run1,4,0,39634,46068,79.64,47,2.0,5607,31779,0.02,0.02,0.0,0.12
2025-12-08T20:05:20.776606,mistral_tgi_c4_run1,4,0,39634,46068,79.66,46,2.6,5607,31779,0.01,0.01,0.0,0.0
2025-12-08T20:05:21.779674,mistral_tgi_c4_run1,4,88,39634,46068,93.47,50,7.7,5622,31779,0.05,0.04,0.0,0.06
2025-12-08T20:05:22.782686,mistral_tgi_c4_run1,4,92,39634,46068,228.19,54,15.9,5622,31779,0.17,0.1,0.0,0.18
2025-12-08T20:05:23.784770,mistral_tgi_c4_run1,4,0,39634,46068,186.91,50,17.7,5648,31779,0.13,0.08,0.0,0.23
2025-12-08T20:05:24.787642,mistral_tgi_c4_run1,4,93,39634,46068,213.47,55,15.1,5648,31779,0.15,0.08,0.0,0.0
2025-12-08T20:05:25.790612,mistral_tgi_c4_run1,4,94,39634,46068,230.0,56,15.2,5647,31779,0.16,0.09,0.0,0.12
2025-12-08T20:05:26.793612,mistral_tgi_c4_run1,4,92,39634,46068,227.65,56,15.7,5644,31779,0.15,0.08,0.0,0.21
2025-12-08T20:05:27.795799,mistral_tgi_c4_run1,4,94,39634,46068,231.8,57,15.9,5643,31779,0.16,0.09,0.0,0.12
2025-12-08T20:05:28.798945,mistral_tgi_c4_run1,4,93,39634,46068,230.86,57,15.7,5642,31779,0.16,0.09,0.0,0.14
2025-12-08T20:05:29.800565,mistral_tgi_c4_run1,4,92,39634,46068,235.46,57,15.4,5642,31779,0.16,0.09,0.0,0.13
2025-12-08T20:05:30.802524,mistral_tgi_c4_run1,4,93,39634,46068,236.5,58,15.6,5642,31779,0.15,0.08,0.0,0.0
2025-12-08T20:05:31.804896,mistral_tgi_c4_run1,4,94,39634,46068,232.63,58,15.1,5639,31779,0.16,0.09,0.0,0.15
2025-12-08T20:05:32.807244,mistral_tgi_c4_run1,4,92,39634,46068,236.13,58,15.3,5639,31779,0.19,0.12,0.0,0.29
2025-12-08T20:05:33.808937,mistral_tgi_c4_run1,4,93,39634,46068,230.11,59,17.9,5653,31779,0.2,0.13,0.0,0.14
2025-12-08T20:05:34.810893,mistral_tgi_c4_run1,4,94,39634,46068,233.31,59,15.7,5652,31779,0.16,0.09,0.0,0.0
2025-12-08T20:05:35.812938,mistral_tgi_c4_run1,4,93,39634,46068,236.05,59,15.6,5651,31779,0.16,0.1,0.0,0.09
2025-12-08T20:05:36.815129,mistral_tgi_c4_run1,4,92,39634,46068,232.89,59,15.5,5651,31779,0.15,0.08,0.0,0.0
2025-12-08T20:05:37.817747,mistral_tgi_c4_run1,4,82,39634,46068,229.46,59,15.7,5647,31779,0.16,0.09,0.0,0.16
2025-12-08T20:05:38.820839,mistral_tgi_c4_run1,4,93,39634,46068,232.81,60,15.9,5648,31779,0.15,0.08,0.0,0.07
2025-12-08T20:05:39.823733,mistral_tgi_c4_run1,4,95,39634,46068,234.32,60,15.8,5645,31779,0.16,0.09,0.0,0.14
2025-12-08T20:05:40.826652,mistral_tgi_c4_run1,4,94,39634,46068,239.9,60,15.3,5643,31779,0.15,0.09,0.0,0.0
2025-12-08T20:05:41.829287,mistral_tgi_c4_run1,4,93,39634,46068,238.34,60,15.3,5642,31779,0.16,0.09,0.0,0.11
2025-12-08T20:05:42.831360,mistral_tgi_c4_run1,4,93,39634,46068,240.51,61,15.4,5642,31779,0.16,0.09,0.0,1.49
2025-12-08T20:05:43.834314,mistral_tgi_c4_run1,4,93,39634,46068,238.69,61,17.8,5636,31779,0.17,0.1,0.0,0.2
2025-12-08T20:05:44.836523,mistral_tgi_c4_run1,4,91,39634,46068,236.63,61,15.1,5636,31779,0.15,0.08,0.0,0.03
2025-12-08T20:05:45.839419,mistral_tgi_c4_run1,4,93,39634,46068,237.72,61,16.0,5634,31779,0.16,0.09,0.0,0.1
2025-12-08T20:05:46.841516,mistral_tgi_c4_run1,4,95,39634,46068,241.57,62,15.8,5632,31779,0.15,0.08,0.0,0.0
