timestamp,run_id,concurrency,gpu_util_percent,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,gpu_temperature,cpu_util_percent,memory_used_mb,memory_total_mb,network_rx_mb_s,network_tx_mb_s,disk_read_mb_s,disk_write_mb_s
2025-12-08T19:47:26.446332,mistral_vllm_c24_run1,24,0,42218,46068,79.61,46,10.0,5018,31779,0.02,0.03,0.17,0.0
2025-12-08T19:47:27.449176,mistral_vllm_c24_run1,24,0,42218,46068,79.72,46,3.0,5018,31779,0.01,0.01,0.0,0.02
2025-12-08T19:47:28.452072,mistral_vllm_c24_run1,24,0,42218,46068,79.62,46,3.8,5018,31779,0.02,0.02,0.0,0.1
2025-12-08T19:47:29.455671,mistral_vllm_c24_run1,24,0,42218,46068,79.47,46,3.1,5017,31779,0.02,0.02,0.0,0.09
2025-12-08T19:47:30.459188,mistral_vllm_c24_run1,24,0,42218,46068,79.51,46,3.6,5017,31779,0.02,0.02,0.0,0.06
2025-12-08T19:47:31.462406,mistral_vllm_c24_run1,24,0,42218,46068,79.42,46,2.8,5017,31779,0.01,0.01,0.0,0.02
2025-12-08T19:47:32.465782,mistral_vllm_c24_run1,24,0,42218,46068,79.28,46,3.3,5016,31779,0.07,0.07,0.0,0.13
2025-12-08T19:47:33.469182,mistral_vllm_c24_run1,24,0,42218,46068,79.26,46,3.9,5016,31779,0.05,0.04,0.0,0.05
2025-12-08T19:47:34.473043,mistral_vllm_c24_run1,24,0,42218,46068,79.26,46,7.0,5031,31779,0.03,0.03,0.0,0.05
2025-12-08T19:47:35.476134,mistral_vllm_c24_run1,24,0,42218,46068,79.18,46,3.0,5030,31779,0.01,0.01,0.0,0.12
2025-12-08T19:47:36.479999,mistral_vllm_c24_run1,24,0,42218,46068,79.08,45,3.3,5030,31779,0.03,0.03,0.0,0.06
2025-12-08T19:47:37.483684,mistral_vllm_c24_run1,24,0,42218,46068,79.12,45,2.9,5030,31779,0.01,0.01,0.0,0.08
2025-12-08T19:47:38.487738,mistral_vllm_c24_run1,24,0,42218,46068,79.18,45,3.5,5030,31779,0.03,0.03,0.0,0.09
2025-12-08T19:47:39.490045,mistral_vllm_c24_run1,24,96,42218,46068,150.72,51,11.5,5050,31779,0.3,0.21,0.0,0.05
2025-12-08T19:47:40.493141,mistral_vllm_c24_run1,24,96,42218,46068,243.57,54,19.2,5048,31779,0.76,0.39,0.0,0.15
2025-12-08T19:47:41.495998,mistral_vllm_c24_run1,24,97,42218,46068,244.85,55,18.7,5048,31779,0.75,0.39,0.0,0.0
2025-12-08T19:47:42.499294,mistral_vllm_c24_run1,24,97,42218,46068,246.31,56,21.0,5044,31779,0.81,0.44,0.0,0.44
2025-12-08T19:47:43.500862,mistral_vllm_c24_run1,24,97,42218,46068,248.11,56,22.7,5049,31779,0.78,0.41,0.0,0.55
2025-12-08T19:47:44.503889,mistral_vllm_c24_run1,24,96,42218,46068,247.87,57,23.8,5077,31779,0.87,0.52,0.0,0.26
2025-12-08T19:47:45.506854,mistral_vllm_c24_run1,24,96,42218,46068,251.05,57,19.2,5074,31779,0.74,0.38,0.0,0.0
2025-12-08T19:47:46.509731,mistral_vllm_c24_run1,24,96,42218,46068,251.08,58,19.3,5073,31779,0.77,0.41,0.0,0.07
2025-12-08T19:47:47.512721,mistral_vllm_c24_run1,24,96,42218,46068,254.97,58,19.1,5068,31779,0.75,0.39,0.0,0.02
2025-12-08T19:47:48.515666,mistral_vllm_c24_run1,24,97,42218,46068,250.32,59,19.6,5066,31779,0.77,0.4,0.0,0.52
2025-12-08T19:47:49.519014,mistral_vllm_c24_run1,24,96,42218,46068,254.53,59,19.0,5064,31779,0.76,0.4,0.0,0.02
2025-12-08T19:47:50.521647,mistral_vllm_c24_run1,24,96,42218,46068,252.41,59,20.2,5062,31779,0.76,0.4,0.0,0.15
2025-12-08T19:47:51.524639,mistral_vllm_c24_run1,24,96,42218,46068,252.44,60,19.2,5062,31779,0.76,0.39,0.0,0.0
2025-12-08T19:47:52.527589,mistral_vllm_c24_run1,24,97,42218,46068,252.88,60,19.4,5062,31779,0.78,0.41,0.0,0.12
2025-12-08T19:47:53.529516,mistral_vllm_c24_run1,24,98,42218,46068,253.96,60,19.3,5062,31779,0.75,0.39,0.0,0.09
2025-12-08T19:47:54.532656,mistral_vllm_c24_run1,24,96,42218,46068,251.36,61,22.1,5054,31779,0.75,0.4,0.0,0.09
2025-12-08T19:47:55.535758,mistral_vllm_c24_run1,24,96,42218,46068,256.36,61,18.5,5052,31779,0.75,0.39,0.0,0.02
2025-12-08T19:47:56.538854,mistral_vllm_c24_run1,24,96,42218,46068,251.89,61,19.5,5052,31779,0.75,0.4,0.0,0.1
2025-12-08T19:47:57.541962,mistral_vllm_c24_run1,24,97,42218,46068,256.22,61,18.9,5051,31779,0.76,0.39,0.0,0.02
2025-12-08T19:47:58.545087,mistral_vllm_c24_run1,24,96,42218,46068,254.07,62,20.5,5051,31779,0.78,0.42,0.0,0.05
2025-12-08T19:47:59.548142,mistral_vllm_c24_run1,24,96,42218,46068,257.65,62,19.1,5051,31779,0.74,0.38,0.0,0.09
2025-12-08T19:48:00.550756,mistral_vllm_c24_run1,24,97,42218,46068,255.32,62,19.6,5051,31779,0.78,0.41,0.0,0.18
2025-12-08T19:48:01.553789,mistral_vllm_c24_run1,24,96,42218,46068,257.48,62,19.4,5052,31779,0.74,0.39,0.0,0.02
2025-12-08T19:48:02.556608,mistral_vllm_c24_run1,24,97,42218,46068,254.76,63,18.5,5052,31779,0.63,0.35,0.0,0.11
2025-12-08T19:48:03.559587,mistral_vllm_c24_run1,24,97,42218,46068,253.6,63,18.2,5052,31779,0.52,0.28,0.0,0.0
2025-12-08T19:48:04.562944,mistral_vllm_c24_run1,24,94,42218,46068,250.83,63,21.3,5071,31779,0.45,0.24,0.0,0.14
2025-12-08T19:48:05.566267,mistral_vllm_c24_run1,24,97,42218,46068,252.73,63,17.1,5071,31779,0.35,0.18,0.0,0.71
2025-12-08T19:48:06.569486,mistral_vllm_c24_run1,24,97,42218,46068,250.76,63,17.3,5071,31779,0.29,0.16,0.0,0.07
